Store,Saleable Quantity,State
"Oro Valley10555 N Oracle Rd Oro Valley, AZ 85737-9353",63,AZ
"Sierra Vista4151 E Highway 90 Sierra Vista, AZ 85635-2425",94,AZ
"Chandler South3777 S ARIZONA AVE Chandler, AZ 85248",103,AZ
"Queen Creek21398 S Ellsworth Loop Rd Queen Creek, AZ 85142-5379",118,AZ
"Gilbert SE5110 S Power Rd Mesa, AZ 85212-4201",111,AZ
"Gilbert SW3931 S Gilbert Rd Gilbert, AZ 85297-7004",0,AZ
"Mesa East1525 S Power Rd Mesa, AZ 85206-3707",131,AZ
"Chandler West Santan3425 W Frye Rd Chandler, AZ 85226-5008",189,AZ
"Bemidji2100 Paul Bunyan Dr NW Bemidji, MN 56601-5645",202,MN
"Fergus Falls2300 College Way Fergus Falls, MN 56537-1062",0,MN
"Aurora Saddle Rock7400 S Gartrell Rd Aurora, CO 80016-4236",108,CO
"Aurora South15700 E Briarwood Cir Aurora, CO 80016-1558",1,CO
"Aurora SE16910 E Quincy Ave Aurora, CO 80015-2745",93,CO
"Aurora West1400 S Havana St Aurora, CO 80012-4014",148,CO
"Alexandria4404 Highway 29 S Alexandria, MN 56308-2915",156,MN
"Watertown2000 9th Ave SE Watertown, SD 57201-5352",193,SD
"Rio Rancho4225 Crestview Dr Rio Rancho, NM 87124-5903",116,NM
"Albuquerque NW9371 Coors Blvd NW Albuquerque, NM 87114-4005",123,NM
"Albuquerque NE6100 Paseo Del Norte NE Albuquerque, NM 87113-1512",150,NM
"Santa Fe3550 Zafarano Dr Santa Fe, NM 87507-2606",0,NM
"Albuquerque Wyoming8510 Montgomery Blvd NE Albuquerque, NM 87111-2307",60,NM
"Albuquerque Uptown2120 Louisiana Blvd NE Albuquerque, NM 87110-5402",156,NM
"Albuquerque Lomas11120 Lomas Blvd NE Albuquerque, NM 87112-5582",155,NM
"Sioux Falls3600 S Louise Ave Sioux Falls, SD 57106-6326",194,SD
"Sioux Falls East1021 Highline Pl Sioux Falls, SD 57110",177,SD
"Virginia1001 13th St S Virginia, MN 55792-3254",170,MN
"Grand Rapids2140 S Pokegama Ave PO Box 5124, Grand Rapids, MN 55744-5124",137,MN
"Kearney4800 3rd Ave Kearney, NE 68845-2892",125,NE
"Norfolk1510 Market Ln Norfolk, NE 68701-7328",144,NE
